./client_with_asio/client_with_asio 2359 120.26.200.117 12333 500 2>/dev/null

10:50.30 77:1	79:1	68:1	75:1	97:1	70:1	83:1	67:1	188:4	143:1	max:188 avrg10:94
10:50.31 142:1	183:4	157:1	143:1	181:3	144:2	97:2	76:1	73:1	83:1	max:183 avrg10:127
10:50.31 73:1	73:1	68:1	69:1	72:1	72:1	66:1	73:1	72:1	72:2	max:73 avrg10:71
10:50.32 82:2	100:2	76:1	70:1	71:1	77:1	72:1	70:1	68:1	69:1	max:100 avrg10:75
10:50.32 68:1	78:2	74:2	88:2	68:1	67:1	72:1	72:1	78:2	72:1	max:88 avrg10:73
10:50.33 72:1	84:2	84:2	167:3	132:1	97:1	71:1	72:1	72:1	70:1	max:167 avrg10:92
10:50.33 72:1	70:1	75:1	66:1	71:2	71:2	71:1	71:1	70:1	72:2	max:75 avrg10:70
10:50.34 72:2	69:2	75:1	70:1	70:1	68:1	67:1	69:1	154:3	123:1	max:154 avrg10:83
10:50.34 92:1	72:1	77:1	73:1	71:1	77:1	70:1	76:1	78:1	70:1	max:92 avrg10:75
10:50.35 70:1	76:1	80:1	87:2	74:1	70:1	74:1	74:1	68:1	74:1	max:87 avrg10:74 max100:188 avrg100:83 avrgall:83
10:50.35 78:1	72:1	74:1	72:1	71:1	73:1	74:1	77:1	67:1	147:3	max:147 avrg10:80 ext_packet_snd:237% ext_size_snd:139%
10:50.36 123:1	90:1	70:2	76:1	70:1	88:1	77:1	91:1	80:1	74:1	max:123 avrg10:83
10:50.36 74:1	69:1	73:1	79:1	74:1	84:1	99:2	89:1	77:1	70:1	max:99 avrg10:78 0KB/s(in)
10:50.37 80:1	71:1	70:1	70:1	75:1	70:1	70:1	83:2	72:1	75:1	max:83 avrg10:73
10:50.37 77:1	75:1	70:1	77:1	70:1	73:1	70:1	73:1	70:1	94:2	max:94 avrg10:74
10:50.38 69:1	69:1	78:1	69:1	72:1	80:1	72:1	78:1	71:1	71:1	max:80 avrg10:72
10:50.38 76:1	71:1	71:1	70:1	71:1	75:1	73:2	68:1	74:1	69:2	max:76 avrg10:71
10:50.39 69:1	73:2	75:2	74:1	73:1	74:2	216:4	181:2	145:2	98:2	max:216 avrg10:107
10:50.39 84:1	81:1	78:1	75:1	77:1	74:1	75:1	69:1	67:1	73:1	max:84 avrg10:75
10:50.40 82:2	77:1	80:1	67:1	72:1	71:2	71:1	73:1	72:2	71:1	max:82 avrg10:73 max100:216 avrg100:79 avrgall:81
10:50.40 71:1	78:1	72:1	70:1	70:1	74:1	70:1	69:1	70:1	75:1	max:78 avrg10:71 ext_packet_snd:238% ext_size_snd:134%
10:50.41 71:1	71:1	74:1	76:2	74:1	74:1	74:1	71:1	68:1	72:1	max:76 avrg10:72
10:50.41 72:1	74:1	77:1	69:1	83:2	82:2	72:1	157:2	106:1	72:1	max:157 avrg10:86
10:50.42 71:1	89:2	70:2	69:1	67:1	73:1	67:1	72:1	70:1	71:1	max:89 avrg10:71
10:50.43 75:1	70:1	70:1	69:1	70:1	68:1	75:2	75:2	73:1	73:1	max:75 avrg10:71
10:50.43 73:1	66:1	72:1	71:1	73:2	69:1	70:1	70:1	70:1	79:2	max:79 avrg10:71
10:50.44 68:1	80:2	72:1	154:3	123:1	97:1	74:1	76:1	72:1	76:1	max:154 avrg10:89
10:50.44 73:1	67:1	72:1	70:1	73:1	75:2	80:2	72:1	71:1	69:1	max:80 avrg10:72
10:50.45 68:1	72:1	68:1	74:1	71:1	71:1	77:2	72:1	70:1	76:1	max:77 avrg10:71
10:50.45 75:1	74:1	69:1	68:1	69:1	73:1	73:1	68:1	73:1	73:1	max:75 avrg10:71 max100:157 avrg100:75 avrgall:79
10:50.46 68:1	72:2	72:2	72:1	71:1	75:1	70:1	75:1	69:1	73:1	max:75 avrg10:71 ext_packet_snd:236% ext_size_snd:133%
10:50.46 74:1	75:1	73:1	74:1	74:1	69:1	74:2	74:1	73:1	72:1	max:75 avrg10:73
10:50.47 71:1	71:1	71:1	73:1	83:1	74:1	76:1	74:1	68:1	75:1	max:83 avrg10:73 9.8KB/s(in)
10:50.47 76:1	73:1	73:1	74:1	74:1	75:1	67:1	67:1	71:2	71:2	max:76 avrg10:72
10:50.48 72:1	142:2	91:2	70:2	70:1	69:1	74:2	69:1	69:1	69:1	max:142 avrg10:79
10:50.48 72:1	82:2	66:1	72:1	71:1	73:1	72:1	66:1	146:3	121:1	max:146 avrg10:84
10:50.49 116:1	71:1	80:2	70:1	75:1	75:1	76:1	69:1	76:2	70:1	max:116 avrg10:77
10:50.49 76:2	70:1	73:1	73:1	74:1	71:1	128:2	128:2	133:2	88:1	max:133 avrg10:91
10:50.50 67:1	68:1	71:1	70:1	75:1	69:1	68:1	68:1	76:1	73:1	max:76 avrg10:70
10:50.50 72:1	72:1	72:1	66:1	71:1	70:1	69:1	73:1	73:2	73:2	max:73 avrg10:71 max100:146 avrg100:76 avrgall:78
10:50.51 73:1	69:1	69:1	72:1	80:2	67:1	68:1	67:1	72:1	71:1	max:80 avrg10:70 ext_packet_snd:236% ext_size_snd:132%
10:50.51 77:1	81:2	76:1	70:1	71:1	75:1	70:1	75:1	70:2	69:1	max:81 avrg10:73
10:50.52 75:1	70:1	80:2	77:1	160:2	110:1	73:1	68:1	68:1	68:1	max:160 avrg10:84
10:50.52 67:1	66:1	77:2	71:2	71:1	72:2	78:2	72:2	71:1	71:2	max:78 avrg10:71
10:50.53 70:1	70:1	76:1	70:1	70:1	75:1	75:1	75:1	79:1	76:1	max:79 avrg10:73
10:50.53 71:1	72:1	84:2	75:1	74:1	75:1	69:1	75:1	69:1	70:1	max:84 avrg10:73
